Nr 	Pit	Name	Age	Horizon	BD_nr	Dish_weight	Wet_soil_dish	Wet_soil_weight	Dry_soil _dish	Dry_soil	Stones_weight	Volume	Stones_density	Stones volume	g/cm_soil_density	g/cm_Bulk_Density	Moisture
405	4	MOR 	GRASS	B	BD5	8.32	101.12	92.8	81.4	73.08	62.72	100	2.170176212	28.90087895	0.1036	0.145712069	26.98412698
407	10	DRUM 	YNG	Bhs	BD1	8.69	147.57	138.88	116.63	107.94	22.83	100	2.170176212	10.51988307	0.8511	0.951161028	28.66407263
408	10	DRUM 	YNG	Bhs	BD2	8.84	147.9	139.06	122.04	113.2	59.51	100	2.170176212	27.42173639	0.5369	0.739753162	22.84452297
409	10	DRUM 	YNG	Bhs	BD3	8.26	180.38	172.12	166.32	158.06	130.54	100	2.170176212	60.15179748	0.2752	0.690620863	8.895356194
410	10	DRUM 	YNG	Bhs	BD4	8.76	132.9	124.14	106.6	97.84	56.2	100	2.170176212	25.89651462	0.4164	0.561916889	26.88062142
411	10	DRUM 	YNG	Bhs	BD5	8.76	117.43	108.67	87.87	79.11	33.03	100	2.170176212	15.21996224	0.4608	0.543524174	37.36569334
439	8	DRUM 	V.OLD	Ah	BD1	8.74	119.87	111.13	76.23	67.49	18.71	100	2.170176212	8.621419724	0.4878	0.533823133	64.66143132
440	8	DRUM 	V.OLD	Ah	BD2	8.69	134.98	126.29	91.2	82.51	29.09	100	2.170176212	13.40444146	0.5342	0.616890761	53.06023512
441	8	DRUM 	V.OLD	Ah	BD3	8.3	111.87	103.57	75.9	67.6	29.18	100	2.170176212	13.44591275	0.3842	0.443884295	53.21005917
442	8	DRUM 	V.OLD	Ah	BD4	8.74	93.55	84.81	58.88	50.14	8.91	100	2.170176212	4.105657389	0.4123	0.429952371	69.14639011
443	8	DRUM 	V.OLD	Ah	BD5	8.44	108	99.56	63.9	55.46	0	100	2.170176212	0	0.5546	0.5546	79.51676884
444	8	DRUM 	V.OLD	B	BD1	8.86	133.88	125.02	122.05	113.19	82.23	100	2.170176212	37.89093233	0.3096	0.498477938	10.45145331
