Age	Live_vol_perc	Repeat	PI	PI proportion
33	9.635234553	12	0.00	0
33	9.635234553	12	0.00	0
33	9.635234553	12	0.00	0
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.07	0.699674624
33	9.635234553	12	0.00	0
33	9.635234553	12	0.00	0
34	10.90301775	12	0.00	0
34	10.90301775	12	0.00	0
34	10.90301775	12	0.00	0
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.07	0.791736289
34	10.90301775	12	0.00	0
34	10.90301775	12	0.00	0
35	12.17080094	12	0.00	0
35	12.17080094	12	0.00	0
35	12.17080094	12	0.00	0
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.07	0.883797953
35	12.17080094	12	0.00	0
35	12.17080094	12	0.00	0
36	13.43861842	12	0.00	0
36	13.43861842	12	0.00	0
36	13.43861842	12	0.00	0
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.07	0.975862107
36	13.43861842	12	0.00	0
36	13.43861842	12	0.00	0
37	14.70640161	12	0.00	0
37	14.70640161	12	0.00	0
37	14.70640161	12	0.00	0
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.07	1.067923771
37	14.70640161	12	0.00	0
37	14.70640161	12	0.00	0
38	15.97418481	12	0.00	0
38	15.97418481	12	0.00	0
38	15.97418481	12	0.00	0
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.07	1.159985436
38	15.97418481	12	0.00	0
38	15.97418481	12	0.00	0
39	17.24200228	12	0.00	0
39	17.24200228	12	0.00	0
39	17.24200228	12	0.00	0
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.07	1.25204959
39	17.24200228	12	0.00	0
39	17.24200228	12	0.00	0
40	18.50978548	12	0.00	0
40	18.50978548	12	0.00	0
40	18.50978548	12	0.00	0
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.07	1.344111255
40	18.50978548	12	0.00	0
40	18.50978548	12	0.00	0
41	20.29220926	12	0.00	0
41	20.29220926	12	0.00	0
41	20.29220926	12	0.00	0
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.07	1.47354419
41	20.29220926	12	0.00	0
41	20.29220926	12	0.00	0
42	22.07463305	12	0.00	0
42	22.07463305	12	0.00	0
42	22.07463305	12	0.00	0
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.07	1.602977125
42	22.07463305	12	0.00	0
42	22.07463305	12	0.00	0
43	23.85705684	12	0.00	0
43	23.85705684	12	0.00	0
43	23.85705684	12	0.00	0
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.07	1.732410061
43	23.85705684	12	0.00	0
43	23.85705684	12	0.00	0
44	25.63948062	12	0.00	0
44	25.63948062	12	0.00	0
44	25.63948062	12	0.00	0
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.07	1.861842996
44	25.63948062	12	0.00	0
44	25.63948062	12	0.00	0
45	27.42190441	12	0.00	0
45	27.42190441	12	0.00	0
45	27.42190441	12	0.00	0
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.07	1.991275932
45	27.42190441	12	0.00	0
45	27.42190441	12	0.00	0
46	29.50596915	12	0.00	0
46	29.50596915	12	0.00	0
46	29.50596915	12	0.00	0
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.07	2.142612903
46	29.50596915	12	0.00	0
46	29.50596915	12	0.00	0
47	31.59003388	12	0.00	0
47	31.59003388	12	0.00	0
47	31.59003388	12	0.00	0
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.07	2.293949874
47	31.59003388	12	0.00	0
47	31.59003388	12	0.00	0
48	33.67409862	12	0.00	0
48	33.67409862	12	0.00	0
48	33.67409862	12	0.00	0
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.07	2.445286845
48	33.67409862	12	0.00	0
48	33.67409862	12	0.00	0
49	35.75816335	12	0.00	0
49	35.75816335	12	0.00	0
49	35.75816335	12	0.00	0
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.07	2.596623816
49	35.75816335	12	0.00	0
49	35.75816335	12	0.00	0
50	37.84222809	12	0.00	0
50	37.84222809	12	0.00	0
50	37.84222809	12	0.00	0
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.07	2.747960787
50	37.84222809	12	0.00	0
50	37.84222809	12	0.00	0
51	40.0771133	12	0.00	0
51	40.0771133	12	0.00	0
51	40.0771133	12	0.00	0
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.07	2.910249775
51	40.0771133	12	0.00	0
51	40.0771133	12	0.00	0
52	42.31199851	12	0.00	0
52	42.31199851	12	0.00	0
52	42.31199851	12	0.00	0
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.07	3.072538764
52	42.31199851	12	0.00	0
52	42.31199851	12	0.00	0
53	44.54688372	12	0.00	0
53	44.54688372	12	0.00	0
53	44.54688372	12	0.00	0
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.07	3.234827752
53	44.54688372	12	0.00	0
53	44.54688372	12	0.00	0
54	46.78176893	12	0.00	0
54	46.78176893	12	0.00	0
54	46.78176893	12	0.00	0
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.07	3.397116741
54	46.78176893	12	0.00	0
54	46.78176893	12	0.00	0
55	49.01665414	12	0.00	0
55	49.01665414	12	0.00	0
55	49.01665414	12	0.00	0
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.07	3.559405729
55	49.01665414	12	0.00	0
55	49.01665414	12	0.00	0
56	51.2926722	12	0.00	0
56	51.2926722	12	0.00	0
56	51.2926722	12	0.00	0
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.07	3.724681631
56	51.2926722	12	0.00	0
56	51.2926722	12	0.00	0
57	53.56869027	12	0.00	0
57	53.56869027	12	0.00	0
57	53.56869027	12	0.00	0
57	53.56869027	12	0.07	3.889957534
57	53.56869027	12	0.07	3.889957534
57	53.56869027	12	0.07	3.889957534
57	53.56869027	12	0.07	3.889957534
