"Peat_amount"	"Layer"	"Year"	"DPM_pool_accummulated_SOC"	"RPM_pool_accummulated_SOC"	"BIO_pool_accummulated_SOC"	"HUM_pool_accummulated_SOC"	"Total_SOC_accummulated"	"SOC_stock_with_accummulation"
"Plus50"	"H"	19	0.00179410416666667	3.94819683808333	0.221621525	3.62453544958333	7.79614791666667	123.792091425
"Mean"	"F"	20	8.6025e-05	0.208882201416667	0.0116748778333333	0.371983981	0.592627083333333	22.0083826083333
"Minus50"	"F"	20	8.175e-05	0.2087871285	0.0116743984166667	0.3720838	0.592627083333333	21.9940628258333
"Plus50"	"F"	20	9.02833333333333e-05	0.208977255916667	0.0116753603333333	0.371884181	0.592627083333333	22.022700765
"Mean"	"H"	20	0.00173089016666667	4.11445763358333	0.232682322083333	3.84622707083333	8.19509791666667	122.228095533333
"Minus50"	"H"	20	0.00164550316666667	4.11310743825	0.23270302525	3.84764195016667	8.19509791666667	122.125157483333
"Plus50"	"H"	20	0.0018161865	4.11581939616667	0.232662291333333	3.84480004266667	8.19509791666667	122.330927866667
"Mean"	"F"	21	8.68e-05	0.216518956583333	0.01218032925	0.39269099725	0.621477083333333	21.7935413758333
"Minus50"	"F"	21	8.20916666666667e-05	0.216409291583333	0.0121796890833333	0.392806000166667	0.621477083333333	21.7781390325
"Plus50"	"F"	21	9.14916666666667e-05	0.216628583333333	0.01218097175	0.392576034166667	0.621477083333333	21.8089420408333
"Mean"	"H"	21	0.00174538816666667	4.27859345133333	0.243652788916667	4.07005628833333	8.59404791666667	120.812733641667
"Minus50"	"H"	21	0.00165097783333333	4.2770212775	0.243675061416667	4.07170059991667	8.59404791666667	120.701936808333
"Plus50"	"H"	21	0.00183968766666667	4.28017739441667	0.243631230083333	4.06839960491667	8.59404791666667	120.923421033333
"Mean"	"F"	22	8.7625e-05	0.223946599166667	0.01267814275	0.413614722	0.650327083333333	21.5861881258333
"Minus50"	"F"	22	8.24666666666667e-05	0.22382092225	0.01267731425	0.41374637825	0.650327083333333	21.5696839916667
